Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1590.98,1603.72,1590.98,1602.5,1602.5,69876500
2020-01-03,1606.31,1612.62,1604.34,1611.38,1611.38,109697200
2020-01-06,1611.16,1611.16,1593.08,1597.76,1597.76,57241400
2020-01-07,1596.56,1612.6,1596.42,1611.04,1611.04,96579400
2020-01-08,1604.06,1604.06,1587.43,1589.1,1589.1,93682000
2020-01-09,1593.72,1599.01,1589.98,1595.65,1595.65,97468500
2020-01-10,1596.65,1597.85,1589.07,1591.46,1591.46,77260800
2020-01-13,1593.1,1595.24,1581.57,1584.73,1584.73,76066600
2020-01-14,1584.99,1587.47,1571.89,1580.6,1580.6,96081600
2020-01-15,1579.94,1585.14,1573.92,1585.14,1585.14,84830800
2020-01-16,1582.12,1588.23,1575.77,1587.88,1587.88,95089400
2020-01-17,1586.94,1595.81,1586.76,1595.81,1595.81,147653500
2020-01-20,1596.39,1596.39,1588.88,1588.88,1588.88,82673100
2020-01-21,1589.29,1592.59,1587.1,1587.33,1587.33,113059900
2020-01-22,1584.64,1595.38,1576.9,1577.98,1577.98,169768500
2020-01-23,1575.27,1577.79,1571.58,1574.44,1574.44,109508300
2020-01-24,1573.6,1575.21,1568.64,1572.81,1572.81,80187200
2020-01-28,1551.64,1551.64,1551.64,1551.64,1551.64,
2020-01-29,1551.63,1554.42,1547.94,1550.47,1550.47,173163500
2020-01-30,1545.59,1545.59,1545.59,1545.59,1545.59,
2020-01-31,1544.25,1552.46,1530.69,1531.06,1531.06,232272000
2020-02-03,1522.14,1528.06,1517.61,1521.95,1521.95,154060300
2020-02-04,1528.32,1542.59,1527.7,1535.8,1535.8,167916100
2020-02-05,1539.64,1539.89,1529.1,1536.79,1536.79,192358700
2020-02-06,1540.88,1555.63,1540.88,1552.77,1552.77,154660000
2020-02-07,1554.29,1554.91,1546.08,1554.49,1554.49,124357000
2020-02-10,1557.07,1557.07,1540.11,1542.8,1542.8,101850300
2020-02-11,1544.89,1554.67,1543.23,1551.48,1551.48,103140000
2020-02-12,1551.02,1555.66,1538.66,1542.94,1542.94,182740200
2020-02-13,1544.75,1545.92,1536.76,1539.16,1539.16,98000800
2020-02-14,1538.72,1544.46,1534.97,1544.46,1544.46,95266500
2020-02-17,1542.97,1545.92,1537.12,1537.12,1537.12,75684400
2020-02-18,1536.51,1537.87,1532.89,1537.08,1537.08,100882100
2020-02-19,1539.22,1539.9,1530.83,1534.16,1534.16,100665400
2020-02-20,1537.1,1540.18,1531.15,1534.98,1534.98,125662200
2020-02-21,1529.01,1533.91,1527.57,1531.2,1531.2,106739500
2020-02-24,1501.47,1510.42,1486.71,1490.06,1490.06,255636600
2020-02-25,1481.46,1503.3,1481.46,1500.88,1500.88,174202800
2020-02-26,1489.33,1508.43,1485.24,1495.19,1495.19,199950000
2020-02-27,1496.73,1508.27,1494.94,1505.59,1505.59,133612600
2020-02-28,1484.9,1494.09,1473.77,1482.64,1482.64,312195000
