Date,Confirmed,Death,Recovered,Active Case,Daily Cases,Daily Death
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,3,0,0,3,3,0
2020-01-26,4,0,0,4,1,0
2020-01-27,4,0,0,4,0,0
2020-01-28,4,0,0,4,0,0
2020-01-29,7,0,0,7,3,0
2020-01-30,8,0,0,8,1,0
2020-01-31,8,0,0,8,0,0
2020-02-01,8,0,0,8,0,0
2020-02-02,8,0,0,8,0,0
2020-02-03,8,0,0,8,0,0
2020-02-04,10,0,0,10,2,0
2020-02-05,12,0,0,12,2,0
2020-02-06,12,0,0,12,0,0
2020-02-07,12,0,1,11,0,0
2020-02-08,16,0,1,15,4,0
2020-02-09,16,0,1,15,0,0
2020-02-10,18,0,1,17,2,0
2020-02-11,18,0,3,15,0,0
2020-02-12,18,0,3,15,0,0
2020-02-13,19,0,3,16,1,0
2020-02-14,19,0,3,16,0,0
2020-02-15,22,0,7,15,3,0
2020-02-16,22,0,7,15,0,0
2020-02-17,22,0,7,15,0,0
2020-02-18,22,0,13,9,0,0
2020-02-19,22,0,15,7,0,0
2020-02-20,22,0,15,7,0,0
2020-02-21,22,0,15,7,0,0
2020-02-22,22,0,15,7,0,0
2020-02-23,22,0,15,7,0,0
2020-02-24,22,0,18,4,0,0
2020-02-25,22,0,18,4,0,0
2020-02-26,22,0,18,4,0,0
2020-02-27,23,0,18,5,1,0
2020-02-28,23,0,18,5,0,0
2020-02-29,25,0,18,7,2,0
2020-03-01,29,0,18,11,4,0
2020-03-02,29,0,18,11,0,0
2020-03-03,36,0,22,14,7,0
2020-03-04,50,0,22,28,14,0
2020-03-05,50,0,22,28,0,0
2020-03-06,83,0,22,61,33,0
2020-03-07,93,0,23,70,10,0
2020-03-08,99,0,24,75,6,0
2020-03-09,117,0,24,93,18,0
2020-03-10,129,0,24,105,12,0
2020-03-11,149,0,26,123,20,0
2020-03-12,149,0,26,123,0,0
2020-03-13,197,0,26,171,48,0
2020-03-14,238,0,35,203,41,0
2020-03-15,428,0,42,386,190,0
2020-03-16,566,0,42,524,138,0
2020-03-17,673,2,49,622,107,2
2020-03-18,790,2,60,728,117,0
2020-03-19,900,2,75,823,110,0
2020-03-20,1030,3,87,940,130,1
2020-03-21,1183,4,114,1065,153,1
2020-03-22,1306,10,139,1157,123,6
2020-03-23,1518,14,139,1365,212,4
2020-03-24,1624,16,183,1425,106,2
2020-03-25,1796,20,199,1577,172,4
2020-03-26,2031,23,215,1793,235,3
2020-03-27,2161,26,259,1876,130,3
2020-03-28,2320,27,320,1973,159,1
2020-03-29,2470,35,388,2047,150,8
2020-03-30,2626,37,479,2110,156,2
2020-03-31,2766,43,537,2186,140,6
2020-04-01,2908,45,645,2218,142,2
2020-04-02,3116,50,767,2299,208,5
2020-04-03,3333,53,827,2453,217,3
2020-04-04,3483,57,915,2511,150,4
2020-04-05,3662,61,1005,2596,179,4
2020-04-06,3793,62,1241,2490,131,1
2020-04-07,3963,63,1321,2579,170,1
2020-04-08,4119,65,1487,2567,156,2
2020-04-09,4228,67,1608,2553,109,2
2020-04-10,4346,70,1830,2446,118,3
2020-04-11,4530,73,1995,2462,184,3
2020-04-12,4683,76,2108,2499,153,3
2020-04-13,4817,77,2276,2464,134,1
2020-04-14,4987,82,2478,2427,170,5
2020-04-15,5072,83,2647,2342,85,1
2020-04-16,5182,84,2766,2332,110,1
2020-04-17,5251,86,2967,2198,69,2
2020-04-18,5305,88,3102,2115,54,2
2020-04-19,5389,89,3197,2103,84,1
2020-04-20,5425,89,3295,2041,36,0
2020-04-21,5482,92,3349,2041,57,3
2020-04-22,5532,93,3452,1987,50,1
2020-04-23,5603,95,3542,1966,71,2
2020-04-24,5691,96,3663,1932,88,1
2020-04-25,5742,98,3762,1882,51,2
2020-04-26,5780,98,3862,1820,38,0
2020-04-27,5820,99,3957,1764,40,1
2020-04-28,5851,100,4032,1719,31,1
2020-04-29,5945,100,4087,1758,94,0
2020-04-30,6002,102,4171,1729,57,2
2020-05-01,6071,103,4210,1758,69,1
2020-05-02,6176,103,4326,1747,105,0
2020-05-03,6298,105,4413,1780,122,2
2020-05-04,6353,105,4484,1764,55,0
2020-05-05,6383,106,4567,1710,30,1
2020-05-06,6428,107,4702,1619,45,1
2020-05-07,6467,107,4776,1584,39,0
2020-05-08,6535,107,4864,1564,68,0
2020-05-09,6589,108,4929,1552,54,1
2020-05-10,6656,108,5025,1523,67,0
2020-05-11,6726,109,5113,1504,70,1
2020-05-12,6742,109,5223,1410,16,0
2020-05-13,6779,111,5281,1387,37,2
2020-05-14,6819,112,5351,1356,40,1
2020-05-15,6855,112,5439,1304,36,0
2020-05-16,6872,113,5512,1247,17,1
2020-05-17,6894,113,5571,1210,22,0
2020-05-18,6941,113,5615,1213,47,0
2020-05-19,6978,114,5646,1218,37,1
2020-05-20,7009,114,5706,1189,31,0
2020-05-21,7059,114,5796,1149,50,0
2020-05-22,7137,115,5859,1163,78,1
2020-05-23,7185,115,5912,1158,48,0
2020-05-24,7245,115,5945,1185,60,0
2020-05-25,7417,115,5979,1323,172,0
2020-05-26,7604,115,6041,1448,187,0
2020-05-27,7619,115,6083,1421,15,0
2020-05-28,7629,115,6169,1345,10,0
2020-05-29,7732,115,6235,1382,103,0
2020-05-30,7762,115,6330,1317,30,0
2020-05-31,7819,115,6353,1351,57,0
2020-06-01,7857,115,6404,1338,38,0
2020-06-02,7877,115,6470,1292,20,0
2020-06-03,7970,115,6531,1324,93,0
2020-06-04,8247,115,6559,1573,277,0
2020-06-05,8266,116,6610,1540,19,1
2020-06-06,8303,117,6635,1551,37,1
2020-06-07,8322,117,6674,1531,19,0
2020-06-08,8329,117,6694,1518,7,0
2020-06-09,8336,117,6975,1244,7,0
2020-06-10,8338,118,7014,1206,2,1
2020-06-11,8369,118,7065,1186,31,0
2020-06-12,8402,119,7168,1115,33,1
2020-06-13,8445,120,7311,1014,43,1
2020-06-14,8453,121,7346,986,8,1
2020-06-15,8494,121,7400,973,41,0
2020-06-16,8505,121,7733,651,11,0
2020-06-17,8515,121,7873,521,10,0
2020-06-18,8529,121,8000,408,14,0
2020-06-19,8535,121,8070,344,6,0
2020-06-20,8556,121,8146,289,21,0
2020-06-21,8572,121,8156,295,16,0
2020-06-22,8587,121,8177,289,15,0
2020-06-23,8590,121,8186,283,3,0
2020-06-24,8596,121,8231,244,6,0
2020-06-25,8600,121,8271,208,4,0
2020-06-26,8606,121,8294,191,6,0
2020-06-27,8616,121,8308,187,10,0
2020-06-28,8634,121,8318,195,18,0
2020-06-29,8637,121,8334,182,3,0
2020-06-30,8639,121,8354,164,2,0
2020-07-01,8640,121,8375,144,1,0
2020-07-02,8643,121,8437,85,3,0
2020-07-03,8648,121,8446,81,5,0
2020-07-04,8658,121,8461,76,10,0
2020-07-05,8663,121,8465,77,5,0
2020-07-06,8668,121,8476,71,5,0
2020-07-07,8674,121,8481,72,6,0
2020-07-08,8677,121,8486,70,3,0
2020-07-09,8683,121,8499,63,6,0
2020-07-10,8696,121,8511,64,13,0
2020-07-11,8704,122,8515,67,8,1
2020-07-12,8718,122,8519,77,14,0
2020-07-13,8725,122,8520,83,7,0
2020-07-14,8729,122,8524,83,4,0
2020-07-15,8734,122,8526,86,5,0
2020-07-16,8737,122,8538,77,3,0
2020-07-17,8755,122,8541,92,18,0
2020-07-18,8764,122,8546,96,9,0
2020-07-19,8779,123,8553,103,15,1
2020-07-20,8800,123,8555,122,21,0
2020-07-21,8815,123,8562,130,15,0
2020-07-22,8831,123,8566,142,16,0
2020-07-23,8840,123,8574,143,9,0
2020-07-24,8861,123,8577,161,21,0
2020-07-25,8884,123,8594,167,23,0
2020-07-26,8897,124,8600,173,13,1
2020-07-27,8904,124,8601,179,7,0
2020-07-28,8943,124,8607,212,39,0
2020-07-29,8956,124,8612,220,13,0
2020-07-30,8964,124,8617,223,8,0
2020-07-31,8976,125,8644,207,12,1
2020-08-01,8985,125,8647,213,9,0
2020-08-02,8999,125,8664,210,14,0
2020-08-03,9001,125,8668,208,2,0
2020-08-04,9002,125,8684,193,1,0
2020-08-05,9023,125,8702,196,21,0
2020-08-06,9038,125,8713,200,15,0
2020-08-07,9063,125,8728,210,25,0
2020-08-08,9070,125,8775,170,7,0
2020-08-09,9083,125,8784,174,13,0
2020-08-10,9094,125,8803,166,11,0
2020-08-11,9103,125,8809,169,9,0
2020-08-12,9114,125,8817,172,11,0
2020-08-13,9129,125,8821,183,15,0
2020-08-14,9149,125,8828,196,20,0
2020-08-15,9175,125,8831,219,26,0
2020-08-16,9200,125,8859,216,25,0
2020-08-17,9212,125,8876,211,12,0
2020-08-18,9219,125,8902,192,7,0
2020-08-19,9235,125,8925,185,16,0
2020-08-20,9240,125,8932,183,5,0
2020-08-21,9249,125,8945,179,9,0
2020-08-22,9257,125,8949,183,8,0
2020-08-23,9267,125,8959,183,10,0
2020-08-24,9274,125,8965,184,7,0
2020-08-25,9285,125,8971,189,11,0
2020-08-26,9291,125,8978,188,6,0
2020-08-27,9296,125,8994,177,5,0
2020-08-28,9306,125,9030,151,10,0
2020-08-29,9317,125,9038,154,11,0
2020-08-30,9334,126,9048,160,17,1
2020-08-31,9340,127,9054,159,6,1
2020-09-01,9354,128,9075,151,14,1
2020-09-02,9360,128,9079,153,6,0
2020-09-03,9374,128,9083,163,14,0
2020-09-04,9385,128,9092,165,11,0
2020-09-05,9391,128,9113,150,6,0
2020-09-06,9397,128,9115,154,6,0
2020-09-07,9459,128,9124,207,62,0
2020-09-08,9559,128,9136,295,100,0
2020-09-09,9583,128,9143,312,24,0
2020-09-10,9628,128,9167,333,45,0
2020-09-11,9810,128,9181,501,182,0
2020-09-12,9868,128,9189,551,58,0
2020-09-13,9915,128,9196,591,47,0
2020-09-14,9946,128,9203,615,31,0
2020-09-15,9969,128,9209,632,23,0
2020-09-16,10031,128,9235,668,62,0
2020-09-17,10052,128,9250,674,21,0
2020-09-18,10147,129,9264,754,95,1
2020-09-19,10167,130,9315,722,20,1
2020-09-20,10219,130,9355,734,52,0
2020-09-21,10276,130,9395,751,57,0
2020-09-22,10358,130,9563,665,82,0
2020-09-23,10505,133,9602,770,147,3
2020-09-24,10576,133,9666,777,71,0
2020-09-25,10687,133,9696,858,111,0
2020-09-26,10769,133,9785,851,82,0
2020-09-27,10919,134,9835,950,150,1
2020-09-28,11034,134,9889,1011,115,0
2020-09-29,11135,134,9939,1062,101,0
2020-09-30,11224,136,9967,1121,89,2
2020-10-01,11484,136,10014,1334,260,0
2020-10-02,11771,136,10095,1540,287,0
2020-10-03,12088,137,10216,1735,317,1
2020-10-04,12381,137,10283,1961,293,0
2020-10-05,12813,137,10340,2336,432,0
2020-10-06,13504,141,10427,2936,691,4
2020-10-07,13993,141,10501,3351,489,0
2020-10-08,14368,146,10519,3703,375,5
2020-10-09,14722,152,10707,3863,354,6
2020-10-10,15096,155,10780,4161,374,3
2020-10-11,15657,157,10913,4587,561,2
2020-10-12,16220,159,11022,5039,563,2
2020-10-13,16880,163,11372,5345,660,4
2020-10-14,17540,167,11605,5768,660,4
2020-10-15,18129,170,12014,5945,589,3
2020-10-16,18758,176,12259,6323,629,6
2020-10-17,19627,180,12561,6886,869,4
2020-10-18,20498,187,13262,7049,871,7
2020-10-19,21363,190,13717,7456,865,3
2020-10-20,22225,193,14351,7681,862,3
2020-10-21,22957,199,14931,7827,732,6
2020-10-22,23804,204,15417,8183,847,5
2020-10-23,24514,214,15884,8416,710,10
2020-10-24,25742,221,16555,8966,1228,7
2020-10-25,26565,229,17134,9202,823,8
