date,value
1/1/1992,149918
2/1/1992,150595
3/1/1992,163324
4/1/1992,167859
5/1/1992,174365
6/1/1992,172979
7/1/1992,174082
8/1/1992,174430
9/1/1992,168719
10/1/1992,177951
11/1/1992,175358
12/1/1992,212915
1/1/1993,156690
2/1/1993,153641
3/1/1993,174475
4/1/1993,180709
5/1/1993,186633
6/1/1993,185927
7/1/1993,187957
8/1/1993,187591
9/1/1993,181596
10/1/1993,186950
11/1/1993,191559
12/1/1993,228715
1/1/1994,164828
2/1/1994,166379
3/1/1994,196622
4/1/1994,193940
5/1/1994,199597
6/1/1994,202607
7/1/1994,197760
8/1/1994,207064
9/1/1994,198400
10/1/1994,202481
11/1/1994,206828
12/1/1994,245440
1/1/1995,179051
2/1/1995,175791
3/1/1995,205565
4/1/1995,200271
5/1/1995,215166
6/1/1995,216466
7/1/1995,207717
8/1/1995,218830
9/1/1995,206461
10/1/1995,208535
11/1/1995,216434
12/1/1995,251669
1/1/1996,188756
2/1/1996,196197
3/1/1996,216269
4/1/1996,216251
5/1/1996,231747
6/1/1996,222096
7/1/1996,222757
8/1/1996,230621
9/1/1996,213500
10/1/1996,227290
11/1/1996,228073
12/1/1996,262033
1/1/1997,203971
2/1/1997,201077
3/1/1997,229158
4/1/1997,224740
5/1/1997,238820
6/1/1997,231904
7/1/1997,236157
8/1/1997,239706
9/1/1997,227391
10/1/1997,237102
11/1/1997,232627
12/1/1997,275706
1/1/1998,212036
2/1/1998,208075
3/1/1998,235268
4/1/1998,239879
5/1/1998,250652
6/1/1998,249886
7/1/1998,247218
8/1/1998,246072
9/1/1998,236922
10/1/1998,250177
11/1/1998,246454
12/1/1998,294792
1/1/1999,223220
2/1/1999,225893
3/1/1999,259765
4/1/1999,257263
5/1/1999,268829
6/1/1999,267851
7/1/1999,268869
8/1/1999,271971
9/1/1999,260673
10/1/1999,264873
11/1/1999,270846
12/1/1999,324739
1/1/2000,242691
2/1/2000,257209
3/1/2000,287126
4/1/2000,271770
5/1/2000,291851
6/1/2000,289289
7/1/2000,278741
8/1/2000,291923
9/1/2000,276729
10/1/2000,278519
11/1/2000,283583
12/1/2000,327185
1/1/2001,257561
2/1/2001,254500
3/1/2001,288109
4/1/2001,282807
5/1/2001,304808
6/1/2001,296502
7/1/2001,287631
8/1/2001,303742
9/1/2001,269974
10/1/2001,300636
11/1/2001,295614
12/1/2001,334115
1/1/2002,263286
2/1/2002,260480
3/1/2002,293207
4/1/2002,293053
5/1/2002,309272
6/1/2002,297618
7/1/2002,304643
8/1/2002,316966
9/1/2002,282280
10/1/2002,297184
11/1/2002,299576
12/1/2002,346014
1/1/2003,277504
2/1/2003,267895
3/1/2003,303875
4/1/2003,305435
5/1/2003,324452
6/1/2003,313353
7/1/2003,323056
8/1/2003,330313
9/1/2003,306836
10/1/2003,317990
11/1/2003,314234
12/1/2003,371745
1/1/2004,294797
2/1/2004,296443
3/1/2004,335583
4/1/2004,332165
5/1/2004,346372
6/1/2004,339295
7/1/2004,346770
8/1/2004,345361
9/1/2004,331974
10/1/2004,338441
11/1/2004,342523
12/1/2004,406081
1/1/2005,310828
2/1/2005,312911
